id,title,franchise,release_year,genres,vote_average,vote_count,director,top_actors,keywords
3202,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean,2003,"Action, Adventure, Fantasy",7.5,7191,Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom","exotic island, gold, marriage proposal, mutiny, skeleton"
3203,The League of Extraordinary Gentlemen,,2003,"Action, Fantasy, Science Fiction, Thriller",5.7,1181,Stephen Norrington,"Sean Connery, Peta Wilson, Shane West","saving the world, vampire, bite"
3204,Bad Boys II,Bad Boys,2003,"Action, Adventure, Comedy, Crime, Thriller",6.3,1588,Michael Bay,"Martin Lawrence, Will Smith, Jordi Mollà","miami, cuba, undercover, mexican standoff, slaughter"
3205,How to Deal,,2003,"Comedy, Drama, Romance",5.7,42,Clare Kilner,"Mandy Moore, Trent Ford, Allison Janney",woman director
3206,Johnny English,Johnny English,2003,"Action, Adventure, Comedy",6.0,875,Peter Howitt,"Rowan Atkinson, John Malkovich, Natalie Imbruglia","spy, hero, queen, intelligence, funeral"
3207,Dirty Pretty Things,,2002,"Crime, Drama, Thriller",6.8,135,Stephen Frears,"Chiwetel Ejiofor, Audrey Tautou, Sergi López","london england, prostitute, hotel, illegal immigration"
3208,Curly Sue,,1991,"Comedy, Drama, Family, Romance",5.5,112,John Hughes,"Jim Belushi, Alisan Porter, Kelly Lynch","homeless person, daughter, wealth"
3209,Little Giants,,1994,"Comedy, Family",6.0,87,Duwayne Dunham,"Rick Moranis, Ed O'Neill, Devon Sawa",sport
3210,Lara Croft Tomb Raider: The Cradle of Life,Tomb Raider,2003,"Action, Adventure, Fantasy, Thriller",5.5,1443,Jan de Bont,"Angelina Jolie, Gerard Butler, Noah Taylor","riddle, treasure, treasure hunt, hong kong, archaeologist"
3211,Seabiscuit,,2003,"Drama, History",6.8,219,Gary Ross,"Jeff Bridges, David McCullough, Chris Cooper","horse race, american dream, great depression"
3212,Spy Kids 3-D: Game Over,Spy Kids,2003,"Action, Adventure, Comedy, Family, Science Fiction",4.7,525,Robert Rodriguez,"Antonio Banderas, Carla Gugino, Alexa PenaVega","video game, intelligence, liberation, child hero, mission"
3213,Buffalo Soldiers,,2001,"Comedy, Crime, Drama, Thriller, War",6.5,93,Gregor Jordan,"Joaquin Phoenix, Ed Harris, Scott Glenn","germany, corruption, sex, based on novel, investigation"
3214,Avanti!,,1972,"Comedy, Drama, Romance",6.8,49,Billy Wilder,"Jack Lemmon, Juliet Mills, Clive Revill","italy, loss of mother, loss of father, island"
3215,"One, Two, Three",,1961,"Comedy, Family",7.6,66,Billy Wilder,"James Cagney, Liselotte Pulver, Horst Buchholz","berlin, prison, cold war, communist, soviet union"
3216,The Private Life of Sherlock Holmes,,1970,"Adventure, Comedy, Crime, Mystery, Romance, Thriller",6.9,61,Billy Wilder,"Robert Stephens, Colin Blakely, Geneviève Page",sherlock holmes
3217,Remo Williams: The Adventure Begins...,,1985,"Action, Adventure, Comedy",6.4,64,Guy Hamilton,"Fred Ward, Joel Grey, Wilford Brimley","new identity, agent"
3218,"What's Up, Tiger Lily?",,1966,"Action, Comedy",5.6,49,Woody Allen,"Tatsuya Mihashi, Akiko Wakabayashi, Mie Hama",spoof
3219,American Wedding,American Pie,2003,"Comedy, Romance",6.0,1158,Jesse Dylan,"Jason Biggs, Alyson Hannigan, Seann William Scott","handcuffs, sister sister relationship, wedding"
3220,The Magdalene Sisters,,2002,Drama,7.4,114,Peter Mullan,"Anne-Marie Duff, Nora-Jane Noone, Eileen Walsh","irish, ireland, catholic"
3221,Freaky Friday,,2003,Comedy,6.0,919,Mark Waters,"Jamie Lee Curtis, Lindsay Lohan, Mark Harmon","single parent, brother sister relationship, mistake in person, bride, high school"
3222,S.W.A.T.,S.W.A.T.,2003,"Action, Crime, Thriller",5.8,780,Clark Johnson,"Samuel L. Jackson, Colin Farrell, Michelle Rodriguez","liberation, weapon, los angeles"
3223,Le Divorce,,2003,"Comedy, Drama, Romance",4.8,40,James Ivory,"Kate Hudson, Naomi Watts, Melvil Poupaud","france, sex, infidelity, artist, tourist"
3224,Accattone,,1961,Drama,7.8,49,Pier Paolo Pasolini,"Franco Citti, Franca Pasut, Silvana Corsini","prostitute, rome, robbery, pimp, poverty"
3225,Brain Damage,,1988,"Comedy, Horror",6.8,54,Frank Henenlotter,"Rick Hearst, Jennifer Lowry, Gordon MacDonald","sex, bar, hallucination, addiction, 1980s"
3226,The Gospel According to Matthew,,1964,"Drama, History",7.4,54,Pier Paolo Pasolini,"Enrique Irazoqui, Margherita Caruso, Susanna Pasolini","biography, faith"
3227,Umberto D.,,1952,Drama,8.0,92,Vittorio De Sica,"Carlo Battisti, Lina Gennari, Ileana Simova","servant, hunger, despair, unsociability, old man"
3228,I Love You to Death,,1990,"Action, Comedy, Crime",6.2,68,Lawrence Kasdan,"Kevin Kline, Tracey Ullman, Joan Plowright","wife husband relationship, infidelity"
3229,Freddy vs. Jason,Friday the 13th,2003,Horror,5.8,608,Ronny Yu,"Robert Englund, Ken Kirzinger, Jason Ritter","murder, marijuana, teenager"
3230,Open Range,,2003,Western,7.0,268,Kevin Costner,"Kevin Costner, Robert Duvall, Michael Gambon",horse
3231,Shaolin Soccer,,2001,"Action, Comedy",6.6,504,Stephen Chow,"Stephen Chow, Ng Man-Tat, Patrick Tse Yin","martial arts, stadium, soccer"
3232,Uptown Girls,,2003,Comedy,6.1,193,Boaz Yakin,"Brittany Murphy, Dakota Fanning, Marley Shelton","new york, nanny"
3233,American Splendor,,2003,"Comedy, Drama",7.1,121,Shari Springer Berman,"Paul Giamatti, Hope Davis, Judah Friedlander","biography, independent film, woman director"
3234,Agent Cody Banks,Agent Cody Banks,2003,Action,5.0,289,Harald Zwart,"Frankie Muniz, Hilary Duff, Angie Harmon","spy, cia, killer robot"
3235,House of Wax,,1953,"Crime, Horror, Mystery",7.0,75,André De Toth,"Vincent Price, Frank Lovejoy, Phyllis Kirk","mask, wheelchair, remake, morgue, new york city"
3236,The Sure Thing,,1985,"Comedy, Drama, Romance",6.6,82,Rob Reiner,"John Cusack, Daphne Zuniga, Anthony Edwards","california, college, road trip, swimming pool"
3237,Valley Girl,,1983,"Comedy, Romance",6.2,61,Martha Coolidge,"Nicolas Cage, E.G. Daily, Deborah Foreman","alcohol, sex, nudity, punk, music"
3238,Wait Until Dark,,1967,"Crime, Horror, Thriller",7.5,112,Terence Young,"Audrey Hepburn, Alan Arkin, Richard Crenna","photographer, heroin, police, murder, neighbor"
3239,Code Unknown,,2000,"Drama, Romance, War",6.9,59,Michael Haneke,"Juliette Binoche, Thierry Neuvic, Josef Bierbichler",paris
3240,Showdown in Little Tokyo,,1991,"Action, Thriller",5.7,99,Mark L. Lester,"Dolph Lundgren, Brandon Lee, Cary-Hiroyuki Tagawa","yakuza, los angeles"
3241,Tokyo Story,,1953,Drama,8.2,190,Yasujirō Ozu,"Chishu Ryu, Chieko Higashiyama, Setsuko Hara","coma, beach, baby, fish, boat"
3242,THX 1138,,1971,"Drama, Mystery, Science Fiction",6.4,265,George Lucas,"Robert Duvall, Donald Pleasence, Don Pedro Colley","prison, drug addiction, hearing, totalitarian regime, dystopia"
3243,Kind Hearts and Coronets,,1949,"Comedy, Drama",7.6,109,Robert Hamer,"Dennis Price, Valerie Hobson, Joan Greenwood","poison, prison, italian, jealousy, widow"
3244,Joe Kidd,,1972,Western,6.4,76,John Sturges,"Clint Eastwood, Robert Duvall, John Saxon","pistol, violence, cowboy"
3245,The Keep,,1983,Horror,5.9,56,Michael Mann,"Scott Glenn, Alberta Watson, Jürgen Prochnow","nazis, demon"
3246,"The Beast from 20,000 Fathoms",,1953,"Adventure, Horror, Science Fiction",6.7,41,Eugène Lourié,"Paul Hubschmid, Paula Raymond, Cecil Kellaway","monster, atomic bomb, stop motion, giant monster, dinosaur"
3247,10,,1979,"Comedy, Romance",5.4,69,Blake Edwards,"Dudley Moore, Julie Andrews, Bo Derek","female nudity, mexico, beach, midlife crisis, fantasy"
3248,Tremors,Tremors,1990,"Action, Horror",6.6,882,Ron Underwood,"Kevin Bacon, Fred Ward, Finn Carter","small town, stranded, cult favorite, rural setting"
3249,The Red Shoes,,1948,"Drama, Romance",8.2,124,Michael Powell,"Adolf Wohlbrück, Moira Shearer, Léonide Massine","new love, ballet"
3250,The Pink Panther,The Pink Panther (Original),1963,"Comedy, Crime",6.9,246,Blake Edwards,"David Niven, Peter Sellers, Robert Wagner",slapstick
3251,The Pink Panther Strikes Again,The Pink Panther (Original),1976,"Comedy, Mystery",6.8,119,Blake Edwards,"Peter Sellers, Herbert Lom, Lesley-Anne Down",police
3252,Commando,,1985,"Action, Adventure, Thriller",6.4,753,Mark L. Lester,"Arnold Schwarzenegger, Rae Dawn Chong, Dan Hedaya","kidnapping, lone wolf, daughter, father, rescue mission"
3253,Dracula,,1979,"Horror, Romance",6.4,49,John Badham,"Frank Langella, Laurence Olivier, Donald Pleasence","vampire, dracula, insane asylum, remake, gothic horror"
3254,The Discreet Charm of the Bourgeoisie,,1972,Comedy,7.4,140,Luis Buñuel,"Fernando Rey, Delphine Seyrig, Paul Frankeur","upper class, date, terrorist, dream, restaurant"
3255,The Road Home,,1999,"Drama, Romance",7.7,52,Zhang Yimou,"Zhang Ziyi, Hao Zheng, Yulian Zhao","china, loss of father, coffin, funeral, business man"
3256,Ikiru,,1952,Drama,8.1,208,Akira Kurosawa,"Takashi Shimura, Haruo Tanaka, Nobuo Kaneko","japan, age difference, bar, office, night life"
3257,Death in Venice,,1971,Drama,7.1,78,Luchino Visconti,"Dirk Bogarde, Björn Andrésen, Silvana Mangano","venice, beach, obsession, beauty, boy"
3258,The Medallion,,2003,"Action, Comedy, Fantasy, Thriller",5.3,286,Gordon Chan,"Jackie Chan, Lee Evans, Claire Forlani","detective, wretch, fighter"
3259,My Boss's Daughter,,2003,"Comedy, Romance",4.4,189,David Zucker,"Ashton Kutcher, Tara Reid, Andy Richter",
3260,Jeepers Creepers 2,Jeepers Creepers,2003,"Horror, Thriller",5.5,304,Victor Salva,"Ray Wise, Jonathan Breck, Garikayi Mutambirwa","father son relationship, peasant, farm, immortality, father"
3261,Dickie Roberts: Former Child Star,,2003,Comedy,5.1,65,Sam Weisman,"David Spade, Mary McCormack, Craig Bierko","loser, child prodigy"
3262,The Order,,2003,"Drama, Fantasy, Horror, Mystery, Romance, Thriller",4.8,93,Brian Helgeland,"Heath Ledger, Shannyn Sossamon, Benno Fürmann","riddle, rome, vatican, secret organization, investigation"
3263,Party Monster,,2003,"Comedy, Crime, Drama",5.9,60,Fenton Bailey,"Seth Green, Macaulay Culkin, Chloë Sevigny","new york, hotel, based on novel, birthday, nightclub"
3264,Cabin Fever,The Cabin Fever,2003,Horror,5.5,332,Eli Roth,"Rider Strong, Jordan Ladd, James DeBello","sex, lake, nudity, college, victim"
3265,Matchstick Men,,2003,"Comedy, Crime, Drama, Thriller",6.9,515,Ridley Scott,"Nicolas Cage, Sam Rockwell, Alison Lohman","based on novel, con man, daughter, criminal, father daughter relationship"
3266,Once Upon a Time in Mexico,Mexico Trilogy,2003,Action,6.2,605,Robert Rodriguez,"Antonio Banderas, Salma Hayek, Johnny Depp","corruption, cia"
3267,Lost in Translation,,2003,Drama,7.3,1943,Sofia Coppola,"Bill Murray, Scarlett Johansson, Anna Faris","upper class, hotel room, age difference, commercial, culture clash"
3268,Millennium Actress,,2001,"Animation, Drama, Romance",7.8,123,Satoshi Kon,"Mami Koyama, Masamichi Sato, Masaya Onosaka",anime
3269,So Close,,2002,"Action, Thriller",6.4,47,Corey Yuen Kwai,"Shu Qi, Zhao Wei, Karen Mok","martial arts, sense of guilt, hacker, death of father, female protagonist"
3270,Gotcha!,,1985,"Action, Comedy, Thriller",6.1,47,Jeff Kanew,"Anthony Edwards, Linda Fiorentino, Jsu Garcia",
3271,Kuffs,,1992,"Action, Comedy, Crime",5.3,60,Bruce A. Evans,"Christian Slater, Milla Jovovich, Tony Goldwyn","dance, organized crime, breaking the fourth wall, gunfight"
3272,Once Upon a Time in China,Once Upon a Time in China,1991,"Action, Drama",7.4,99,Tsui Hark,"Jet Li, Yuen Biao, Jacky Cheung","china, martial arts, hero"
3273,Once Upon a Time in China II,Once Upon a Time in China,1992,"Action, Comedy",7.1,54,Tsui Hark,"Jet Li, Rosamund Kwan, Max Mok Siu-Chung","china, martial arts, kung fu"
3274,Once Upon a Time in China III,Once Upon a Time in China,1993,Action,6.7,47,Tsui Hark,"Jet Li, Rosamund Kwan, Max Mok Siu-Chung","china, martial arts, kung fu"
3275,Paper Moon,,1973,"Comedy, Crime, Drama",7.8,154,Peter Bogdanovich,"Ryan O'Neal, Tatum O'Neal, Madeline Kahn","bible, con man, carnival, funeral, great depression"
3276,Convoy,,1978,"Action, Comedy, Drama",6.1,78,Sam Peckinpah,"Kris Kristofferson, Ali MacGraw, Ernest Borgnine","male nudity, female nudity, police brutality, waitress, fight"
3277,Day of the Dead,Living Dead,1985,"Horror, Science Fiction",6.9,276,George A. Romero,"Lori Cardille, Terry Alexander, Joseph Pilato","florida, insanity, zombie, zombie apocalypse"
3278,"Hello, Dolly!",,1969,"Comedy, Family, Romance",6.6,61,Gene Kelly,"Barbra Streisand, Walter Matthau, Michael Crawford",based on play or musical
3279,Memoirs of an Invisible Man,,1992,"Comedy, Fantasy, Science Fiction",5.7,127,John Carpenter,"Chevy Chase, Daryl Hannah, Sam Neill",
3280,Once Bitten,,1985,"Comedy, Horror, Romance",5.3,75,Howard Storm,"Jim Carrey, Lauren Hutton, Karen Kopins",
3281,The Brood,,1979,"Horror, Science Fiction, Thriller",6.6,138,David Cronenberg,"Oliver Reed, Samantha Eggar, Art Hindle","mystery, psychologist, divorce, body horror, canuxploitation"
3282,Anything Else,,2003,"Comedy, Romance",6.2,151,Woody Allen,"Woody Allen, Jason Biggs, Christina Ricci","comedian, relationship problems"
3283,Cold Creek Manor,,2003,"Mystery, Thriller",4.9,114,Mike Figgis,"Dennis Quaid, Sharon Stone, Stephen Dorff","country house, independent film"
3284,Secondhand Lions,,2003,"Comedy, Drama, Family",6.9,264,Tim McCanlies,"Michael Caine, Robert Duvall, Haley Joel Osment","texas, money"
3285,Underworld,Underworld,2003,"Action, Fantasy, Thriller",6.6,2556,Len Wiseman,"Kate Beckinsale, Scott Speedman, Michael Sheen","subway, love of one's life, vampire, bite, hostility"
3286,Bubba Ho-tep,,2002,"Comedy, Fantasy, Horror, Mystery, Thriller",6.7,192,Don Coscarelli,"Bruce Campbell, Ossie Davis, Ella Joyce",
3287,Duplex,,2003,"Action, Comedy, Thriller",5.9,500,Danny DeVito,"Ben Stiller, Drew Barrymore, Eileen Essell",
3288,The Rundown,,2003,"Action, Adventure, Comedy, Thriller",6.4,523,Peter Berg,"Dwayne Johnson, Seann William Scott, Rosario Dawson","hunter, bounty hunter, fight, amazon, treasure hunt"
3289,Under the Tuscan Sun,,2003,Romance,6.4,178,Audrey Wells,"Diane Lane, Sandra Oh, Lindsay Duncan","depression, author, divorce, woman director"
3290,Luther,,2003,"Drama, History",6.6,84,Eric Till,"Joseph Fiennes, Jonathan Firth, Claire Cox","church, catholicism"
3291,My Life Without Me,,2003,"Drama, Romance",7.2,78,Isabel Coixet,"Sarah Polley, Amanda Plummer, Scott Speedman","dying and death, daughter, secret love, mother daughter relationship, woman director"
3292,The Triplets of Belleville,,2003,"Adventure, Animation, Comedy, Drama",7.3,233,Sylvain Chomet,"Béatrice Bonifassi, Lina Boudreau, Michèle Caucheteux","france, kidnapping, boy, biker, mafia"
3293,Videodrome,,1983,"Horror, Mystery, Science Fiction",7.1,464,David Cronenberg,"James Woods, Sonja Smits, Deborah Harry","suicide, tv show, hallucination, tv station, dystopia"
3294,Lagaan: Once Upon a Time in India,,2001,"Adventure, Drama, Romance",7.2,125,Ashutosh Gowariker,"Aamir Khan, Gracy Singh, Rachel Shelley","sport, british, bollywood, 19th century"
3295,Judgment at Nuremberg,,1961,"Drama, History",7.6,161,Stanley Kramer,"Spencer Tracy, Burt Lancaster, Richard Widmark","judge, concentration camp, world war ii, nazis, court case"
3296,The Rules of the Game,,1939,"Comedy, Drama, Romance",7.7,109,Jean Renoir,"Nora Gregor, Paulette Dubost, Mila Parély","paris, upper class, jealousy, servant, pilot"
3297,Seven Brides for Seven Brothers,,1954,"Comedy, Drama, Western",7.1,117,Stanley Donen,"Howard Keel, Jeff Richards, Russ Tamblyn","brother brother relationship, bride, musical, wedding, based on short story"
3298,Kiss of the Spider Woman,,1985,Drama,6.8,53,Hector Babenco,"William Hurt, Raúl Juliá, Sônia Braga","gay, male nudity, prison, based on novel, homophobia"
3299,All the President's Men,,1976,"Drama, History, Mystery, Thriller",7.6,424,Alan J. Pakula,"Robert Redford, Dustin Hoffman, Jack Warden","usa, journalist, newspaper, burglar, fbi"
3300,Avalon,,2001,"Action, Science Fiction",6.8,93,Mamoru Oshii,"Małgorzata Foremniak, Władysław Kowalski, Jerzy Gudejko","obsession, future, dystopia, war, weapon"
3301,Babette's Feast,,1987,"Comedy, Drama",7.0,81,Gabriel Axel,"Ghita Nørby, Stéphane Audran, Bodil Kjer","france, denmark, cook"
3302,Beethoven,Beethoven,1992,"Comedy, Family",5.6,425,Brian Levant,"Charles Grodin, Bonnie Hunt, Dean Jones","puppy, family"
3303,Beethoven's 2nd,Beethoven,1993,"Comedy, Family",5.0,175,Rod Daniel,"Charles Grodin, Bonnie Hunt, Nicholle Tom",puppy
3304,Boyz n the Hood,,1991,"Crime, Drama",7.4,377,John Singleton,"Laurence Fishburne, Cuba Gooding Jr., Ice Cube","street gang, black people, rap music, hip-hop, rapper"
3305,Bugsy,,1991,"Crime, Drama",6.0,83,Barry Levinson,"Warren Beatty, Annette Bening, Harvey Keitel","underworld, hitman, biography, psychopath, romance"
3306,Bugsy Malone,,1976,"Action, Comedy, Drama, Family",6.5,71,Alan Parker,"Scott Baio, Jodie Foster, Florrie Dugger","new york, teenager"
3307,Cobra,,1986,"Action, Crime, Thriller",5.6,402,George P. Cosmatos,"Sylvester Stallone, Brigitte Nielsen, Reni Santoni","showdown, resistance, mannequin, prosecution, cop"
3308,Common Wealth,,2000,"Comedy, Horror",6.9,57,Álex de la Iglesia,"Carmen Maura, Eduardo Antuña, María Asquerino","treasure, greed, neighbor, conflict"
3309,Phenomena,,1985,"Horror, Thriller",6.7,146,Dario Argento,"Jennifer Connelly, Donald Pleasence, Daria Nicolodi","detective, daughter, psychopath, revenge, murder"
3310,Crying Freeman,,1995,"Action, Crime",6.3,69,Christophe Gans,"Mark Dacascos, Julie Condra, Rae Dawn Chong","fight, yakuza, artist, hitman, falling in love"
3311,The Meaning of Life,,1983,Comedy,7.2,506,Terry Gilliam,"Terry Gilliam, Graham Chapman, John Cleese","comedian, aftercreditsstinger, duringcreditsstinger, anarchic comedy"
3312,Where Eagles Dare,,1968,"Action, Adventure, Drama, History, War",7.4,233,Brian G. Hutton,"Richard Burton, Clint Eastwood, Mary Ure","germany, world war ii, liberation of prisoners"
3313,Tightrope,,1984,"Crime, Drama, Mystery, Thriller",6.1,85,Richard Tuggle,"Clint Eastwood, Geneviève Bujold, Dan Hedaya","prostitute, new orleans, serial killer, series of murders, police detective"
3314,Sleeping with the Enemy,,1991,"Crime, Drama, Thriller",6.1,228,Joseph Ruben,"Julia Roberts, Patrick Bergin, Kevin Anderson","violent husband, suspense"
3315,PCU,,1994,Comedy,6.0,42,Hart Bochner,"Jeremy Piven, Chris Young, David Spade",
3316,The Rookie,,1990,"Action, Crime, Drama, Thriller",5.6,134,Clint Eastwood,"Clint Eastwood, Charlie Sheen, Raúl Juliá",
3317,City Heat,,1984,"Action, Comedy, Crime",5.1,49,Richard Benjamin,"Clint Eastwood, Burt Reynolds, Jane Alexander",photographer
3318,Into the Night,,1985,"Comedy, Drama, Thriller",6.4,59,John Landis,"Jeff Goldblum, Michelle Pfeiffer, Stacey Pickren","adultery, assassin, airport, chase, spoof"
3319,Three O'Clock High,,1987,Comedy,6.6,64,Phil Joanou,"Casey Siemaszko, Annie Ryan, Richard Tyson","bullying, bully"
3320,White Hunter Black Heart,,1990,"Action, Adventure, Drama",6.5,58,Clint Eastwood,"Clint Eastwood, Jeff Fahey, Charlotte Cornwell",film making
3321,Come and See,,1985,"Drama, History, War",8.1,174,Elem Klimov,"Aleksei Kravchenko, Olga Mironova, Liubomiras Laucevicius","war crimes, world war ii, nazis, insanity, surrealism"
3322,Ginger Snaps,Ginger Snaps,2000,"Drama, Horror",6.6,211,John Fawcett,"Emily Perkins, Katharine Isabelle, Kris Lemche","brother sister relationship, sister sister relationship, puberty, longing, high school"
3323,Regarding Henry,,1991,Drama,6.6,152,Mike Nichols,"Harrison Ford, Annette Bening, Bill Nunn","amnesia, childhood memory, firearm"
3324,Leap of Faith,,1992,"Comedy, Drama, Romance",5.1,49,Richard Pearce,"Steve Martin, Debra Winger, Lolita Davidovich","cheating, small town, supernatural powers"
3325,In Cold Blood,,1967,"Crime, Drama",7.4,83,Richard Brooks,"Robert Blake, Scott Wilson, John Forsythe","murder, farmer"
3326,Yankee Doodle Dandy,,1942,Drama,7.4,57,Michael Curtiz,"James Cagney, Joan Leslie, Walter Huston","dancer, song, biography, singer, actor"
3327,Ninja Scroll,,1993,"Action, Animation, Fantasy",7.4,126,Yoshiaki Kawajiri,"Kouichi Yamadera, Emi Shinohara, Takeshi Aono","japan, sexual abuse, bondage, horror, rescue"
3328,Knife in the Water,,1962,Drama,7.1,73,Roman Polanski,"Leon Niemczyk, Jolanta Umecka, Zygmunt Malanowicz",knife
3329,Out of Time,,2003,"Crime, Drama, Thriller",6.1,305,Carl Franklin,"Denzel Washington, Eva Mendes, Sanaa Lathan","miami, florida, divorce"
3330,School of Rock,,2003,Comedy,6.8,1454,Richard Linklater,"Jack Black, Joan Cusack, Mike White","rock and roll, rock, high school, music band"
3331,The Station Agent,,2003,"Comedy, Drama",7.4,213,Tom McCarthy,"Peter Dinklage, Patricia Clarkson, Bobby Cannavale","new jersey, friendship"
3332,Wonderland,,2003,"Crime, Drama, Mystery, Thriller",6.2,73,James Cox,"Val Kilmer, Dylan McDermott, Kate Bosworth","robbery, junkie, investigation, murder, los angeles"
3333,Mystic River,,2003,"Crime, Drama, Mystery, Thriller",7.6,1473,Clint Eastwood,"Sean Penn, Tim Robbins, Kevin Bacon","child abuse, sexual abuse, loss of child, repayment, suppressed past"
3334,Intolerable Cruelty,,2003,"Comedy, Crime, Romance",5.8,400,Joel Coen,"George Clooney, Catherine Zeta-Jones, Edward Herrmann","california, assassin, infidelity, hitman, court"
3335,Kill Bill: Vol. 1,Kill Bill,2003,"Action, Crime",7.7,5091,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox","japan, coma, martial arts, kung fu, underworld"
3336,Runaway Jury,,2003,"Drama, Thriller",6.9,354,Gary Fleder,"John Cusack, Gene Hackman, Dustin Hoffman","court case, firearm, suspense"
3337,The Texas Chainsaw Massacre,Texas Chainsaw (Reboot),2003,Horror,6.1,670,Marcus Nispel,"Jessica Biel, Jonathan Tucker, Erica Leerhsen","trauma, psychopath, stalker, friends, murder"
3338,Pieces of April,,2003,"Comedy, Drama",6.4,64,Peter Hedges,"Katie Holmes, Derek Luke, Patricia Clarkson","sex, thanksgiving, road trip, love, independent film"
3339,Returner,,2002,"Action, Adventure, Science Fiction",6.7,43,Takashi Yamazaki,"Takeshi Kaneshiro, Anne Suzuki, Kirin Kiki","time travel, alien life-form, violence"
3340,Veronica Guerin,,2003,"Crime, Drama, Thriller",6.8,61,Joel Schumacher,"Cate Blanchett, Gerard McSorley, Ciarán Hinds","journalism, police, murder, drug lord"
3341,In the Cut,,2003,"Mystery, Thriller",4.7,93,Jane Campion,"Meg Ryan, Mark Ruffalo, Jennifer Jason Leigh","eroticism, suspense, woman director"
3342,Beyond Borders,,2003,"Adventure, Drama, Romance, War",6.7,113,Martin Campbell,"Angelina Jolie, Clive Owen, Teri Polo","london england, cia, love of one's life"
3343,Radio,,2003,Drama,6.8,146,Mike Tollin,"Cuba Gooding Jr., Ed Harris, Alfre Woodard","biography, friendship, sport"
3344,Scary Movie 3,Scary Movie,2003,Comedy,5.8,948,David Zucker,"Pamela Anderson, Jenny McCarthy, Marny Eng",
3345,Brother Bear,Brother Bear,2003,"Adventure, Animation, Family",6.9,1410,Aaron Blaise,"Joaquin Phoenix, Jeremy Suarez, Jason Raize","brother brother relationship, transformation, friendship, unlikely friendship, aftercreditsstinger"
3346,Elephant,,2003,"Crime, Drama",7.0,410,Gus Van Sant,"Alex Frost, Eric Deulen, John Robinson","video game, gun, classroom, mass murder, girlfriend"
3347,The Singing Detective,,2003,"Comedy, Crime, Mystery",5.9,41,Keith Gordon,"Robert Downey Jr., Robin Wright, Mel Gibson",
3348,The Italian Job,,1969,"Action, Comedy, Crime, Thriller",7.1,202,Peter Collinson,"Michael Caine, Noël Coward, Benny Hill","prison, england, robbery, bus, gold"
3349,Sweet Sixteen,,2002,"Crime, Drama",6.5,48,Ken Loach,"Martin Compston, Annmarie Fulton, William Ruane","brother sister relationship, puberty, drug dealer, heroin, single"
3350,Interstate 60,,2002,"Adventure, Comedy, Drama, Fantasy, Mystery",7.1,136,Bob Gale,"James Marsden, Gary Oldman, Amy Smart","fantasy, motel, highway, road trip, surrealism"
3351,The Eye,The Eye,2002,Horror,6.4,108,Danny Pang,"Angelica Lee, Lawrence Chou, Chutcha Rujinanon","blindness and impaired vision, remake"
3352,Aparajito,The Apu,1956,Drama,7.9,44,Satyajit Ray,"Kanu Bannerjee, Karuna Bannerjee, Smaran Ghosal","based on novel, loss of mother, loss of father, loss of husband, scholarship"
3353,Le Cercle Rouge,,1970,"Crime, Drama, Thriller",7.6,116,Jean-Pierre Melville,"Alain Delon, Bourvil, Gian Maria Volonté","paris, prison, corruption, pimp, nudity"
3354,The Human Stain,,2003,"Drama, Romance, Thriller",6.1,124,Robert Benton,"Anthony Hopkins, Nicole Kidman, Ed Harris",black people
3355,Shattered Glass,,2003,"Drama, History",6.6,114,Billy Ray,"Hayden Christensen, Peter Sarsgaard, Chloë Sevigny",
3356,The Matrix Revolutions,The Matrix,2003,"Action, Adventure, Science Fiction, Thriller",6.4,3155,Lilly Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","saving the world, artificial intelligence, man vs machine, flying, philosophy"
3357,Elf,,2003,"Comedy, Family, Fantasy",6.4,1007,Jon Favreau,"Will Ferrell, James Caan, Zooey Deschanel","holiday, elves, santa claus, romance, christmas"
3358,Love Actually,,2003,"Comedy, Drama, Romance",7.0,1917,Richard Curtis,"Keira Knightley, Heike Makatsch, Emma Thompson","london england, male nudity, female nudity, love at first sight, usa president"
3359,Father of the Bride,Father of the Bride,1991,"Comedy, Romance",6.2,355,Charles Shyer,"Steve Martin, Diane Keaton, Kimberly Williams-Paisley","father-in-law, daughter, wedding"
3360,Looney Tunes: Back in Action,,2003,"Animation, Comedy, Family",5.6,302,Joe Dante,"Brendan Fraser, Jenna Elfman, Steve Martin","spy, wretch, live action and animation"
3361,Master and Commander: The Far Side of the World,,2003,Adventure,6.9,808,Peter Weir,"Russell Crowe, Paul Bettany, James D'Arcy",
3362,The Missing,,2003,"Adventure, Thriller, Western",6.1,162,Ron Howard,"Tommy Lee Jones, Cate Blanchett, Evan Rachel Wood","mexico, based on novel, new mexico, baby-snatching, daughter"
3363,The Cat in the Hat,,2003,"Comedy, Family, Fantasy",4.9,380,Bo Welch,"Mike Myers, Dakota Fanning, Spencer Breslin","cat, brother sister relationship, chaos, step father, based on children's book"
3364,Gothika,,2003,"Horror, Thriller",5.8,643,Mathieu Kassovitz,"Halle Berry, Robert Downey Jr., Charles S. Dutton","amnesia, mental institution, patient, false accusations, gothic"
